Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Construction,PNS,PNS,PNS,PNS,2085039,$2085039.00,$1718.00,"DSF: 0000820035, 0000866151"
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,253705,$253705.00,$7119.00,"DSF: 0000820035, 0000866151"
10,X279,P.S. 279 - BRONX,DOE- RESOA,FY15 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,435000,$435000.00,$0.00,DSF: 0000800475
10,X283,I.S. 228 - BRONX,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,03/13/2017,F&E,11/13/2017,62000,$62000.00,$61974.00,DSF: 0000845399
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,50000,$50000.00,$0.00,DSF: 0000866453
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,150000,$150000.00,$0.00,DSF: 0000866453
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,500000,$500000.00,$0.00,DSF: 0000866453
10,X306,I.S. 331 - BRONX,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,F&E,PNS,PNS,PNS,PNS,135000,$135000.00,$0.00,DSF: 0000866453
10,X340,P.S. 340 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/01/2017,01/15/2018,07/27/2017,50000,$49621.00,$49621.00,DSF: 0000845054
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,In-Progress,08/07/2017,02/26/2018,,1294751,$1294751.00,$161755.00,DSF: 0000798177
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Design,PNS,PNS,PNS,PNS,4143204,$4143204.00,$47882.00,DSF: 0000798177
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,58108434,$58108434.00,$9977.00,DSF: 0000798177
10,X347,P.S. 33 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,8182828,$8182828.00,$30676.00,DSF: 0000798177
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,$0.00,$0.00,DSF: 0000866428
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,7500,$7500.00,$0.00,DSF: 0000866428
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,110000,$110000.00,$0.00,DSF: 0000866428
10,X360,P.S. 360 - BRONX,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,7500,$7500.00,$0.00,DSF: 0000866428
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Scope,Complete,05/13/2014,09/26/2014,09/10/2014,8017,$23855.00,$23855.00,DSF: 0000799913
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Design,Complete,10/15/2014,03/20/2015,04/28/2015,29395,$80349.00,$64886.00,DSF: 0000799913
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Construction,In-Progress,06/02/2017,02/26/2018,,311317,$272329.00,$104.00,DSF: 0000799913
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,"CM, F&E",In-Progress,06/02/2017,02/26/2018,,72151,$36406.00,$20060.00,DSF: 0000799913
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,$0.00,$0.00,DSF: 0000867305
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,26880,$26880.00,$0.00,DSF: 0000867305
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,394240,$394240.00,$0.00,DSF: 0000867305
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,26880,$26880.00,$0.00,DSF: 0000867305
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867312
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867312
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867312
10,X368,M.S./H.S. 368 - BRONX,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867312
10,X368,IN-TECH ACADEMY (M.S. / HIGH S,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,11/17/2017,01/31/2018,,50000,$49620.00,$49620.00,DSF: 0000845056
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Scope,Complete,04/30/2013,09/13/2013,06/21/2013,43040,$41498.00,$41498.00,DSF: 0000775984
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Design,Complete,07/17/2013,12/18/2013,02/03/2014,150640,$204664.00,$204664.00,DSF: 0000775984
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Construction,In-Progress,04/10/2014,10/01/2015,,2442520,$2294926.00,$1527373.00,DSF: 0000775984
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,"CM, F&E",In-Progress,04/10/2014,10/01/2015,,172160,$473323.00,$473323.00,DSF: 0000775984
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,06/29/2016,10/28/2016,01/17/2017,6840,$22583.00,$22583.00,DSF: 0000843858
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,01/17/2017,07/17/2017,04/20/2017,25080,$59165.00,$59165.00,DSF: 0000843858
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,06/26/2017,04/01/2018,,265620,$238433.00,$6283.00,DSF: 0000843858
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,06/26/2017,04/01/2018,,243952,$213552.00,$12476.00,DSF: 0000843858
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,PNS,PNS,PNS,PNS,0,$0.00,$0.00,DSF: 0000866411
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,PNS,PNS,PNS,PNS,51000,$51000.00,$0.00,DSF: 0000866411
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,748000,$748000.00,$0.00,DSF: 0000866411
10,X430,M.S./H.S. 342 - BRONX,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,51000,$51000.00,$0.00,DSF: 0000866411
10,X430,KINGSBRIDGE INTERNATIONAL HS -,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,65000,$65000.00,$0.00,DSF: 0000798838
10,X430,M.S./H.S. 342 - BRONX,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,06/12/2017,DOES,,DOES,$161827.00,$161827.00,DSF: 0000865882
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,Complete,05/20/2013,05/20/2013,05/20/2013,758294,$219702.00,$219702.00,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,Complete,05/20/2013,10/21/2013,11/06/2013,3033180,$861780.00,$848735.00,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Construction,In-Progress,09/08/2014,09/06/2018,,56872126,$53590274.00,$50017110.00,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,"CM, F&E",In-Progress,09/08/2014,09/06/2018,,3538709,$1715406.00,$1702617.00,"DSF: 0000774339, 0000774340, 0000774341, 0000775991"
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,Complete,09/16/2016,01/20/2017,01/25/2017,9144,$17497.00,$17497.00,DSF: 0000843859
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Design,Complete,01/25/2017,07/25/2017,04/20/2017,33528,$44436.00,$44436.00,DSF: 0000843859
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Construction,In-Progress,06/15/2017,03/11/2018,,355094,$316535.00,$7533.00,DSF: 0000843859
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,"CM, F&E",In-Progress,06/15/2017,03/11/2018,,266901,$228362.00,$17433.00,DSF: 0000843859
2,M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,66000,$66000.00,$0.00,DSF: 0000866424
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Scope,Complete,01/14/2016,05/16/2016,04/20/2016,0,$26643.00,$26643.00,DSF: 0000822352
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Design,Complete,06/01/2016,10/17/2016,10/14/2016,156000,$106569.00,$106569.00,DSF: 0000822352
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Construction,In-Progress,11/07/2017,08/03/2018,,2288000,$1984152.00,$26852.00,DSF: 0000822352
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,"CM, F&E",In-Progress,11/07/2017,08/03/2018,,156000,$39526.00,$39526.00,DSF: 0000822352
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA IEH,IEH PO18-STAGE ELECTRICAL PANEL,Construction,Complete,10/19/2016,IEH,07/01/2017,IEH,$24240.00,$5192.00,DSF: 0000043425
10,X435,FORDHAM HS FOR THE ARTS - BX,SCA IEH,"IEH PO18-CUSTODIANS TOILET,GIRLS LOCKER RM VESTIBU",Construction,Complete,04/06/2017,IEH,08/09/2017,IEH,$21800.00,$1894.00,DSF: 0000046168
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,Complete,10/03/2012,02/22/2013,09/10/2013,407835,$317409.00,$295273.00,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,Complete,12/18/2013,05/21/2014,03/10/2015,1631340,$1136024.00,$978157.00,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Construction,In-Progress,07/07/2016,01/02/2019,,30587626,$28356246.00,$16038131.00,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,"CM, F&E",In-Progress,07/07/2016,01/02/2019,,1903230,$592325.00,$578567.00,"DSF: 0000754569, 0000797100, 0000798647, 0000821913"
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Scope,Complete,11/22/2013,03/21/2014,03/03/2014,60456,$61373.00,$61373.00,DSF: 0000774374
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Design,Complete,03/28/2014,09/26/2014,09/23/2014,241822,$269123.00,$259555.00,DSF: 0000774374
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Construction,PNS,PNS,PNS,PNS,4534167,$4534167.00,$37125.00,DSF: 0000774374
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,282126,$282126.00,$41815.00,DSF: 0000774374
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,10/24/2017,02/23/2018,11/30/2017,12874,$1572.00,$1572.00,DSF: 0000867078
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,11/30/2017,05/29/2018,,47204,$47204.00,$6287.00,DSF: 0000867078
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,499934,$499934.00,$0.00,DSF: 0000867078
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,170459,$170459.00,$457.00,DSF: 0000867078
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Scope,Complete,01/26/2015,05/27/2015,04/02/2015,0,$34470.00,$34470.00,DSF: 0000800078
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Design,PNS,PNS,PNS,PNS,13666,$191926.00,$0.00,DSF: 0000800078
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,200432,$3320479.00,$0.00,DSF: 0000800078
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,13666,$226396.00,$0.00,DSF: 0000800078
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Scope,In-Progress,01/26/2015,05/27/2015,,0,$5978.00,$0.00,DSF: 0000800415
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,12000,$6022.00,$0.00,DSF: 0000800415
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,176000,$176000.00,$0.00,DSF: 0000800415
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,AUDITORIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,12000,$12000.00,$0.00,DSF: 0000800415
10,X440,DEWITT CLINTON HS - X,SCA IEH,IEH PO18-BATHROOM #191,Construction,In-Progress,11/27/2017,IEH,,IEH,$46420.00,$7392.00,DSF: 0000049508
10,X440,DEWITT CLINTON HS - X,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,06/01/2017,DOEL,,DOEL,$800.00,$0.00,DSF:
10,X440,DEWITT CLINTON HS - X,DOE- RESOA,FY17 RESO A HYDROPONIC CLASSROOM,Construction,In-Progress,07/14/2017,DOER,,84515,$84515.00,$84515.00,DSF: 0000845041
10,X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/07/2017,DOES,,DOES,$170000.00,$606.00,DSF: 0000866080
10,X440,DEWITT CLINTON HS - X,DOE - Skilled Trades,ELEVATOR MODERNIZATION,Construction,In-Progress,11/30/2017,DOES,,DOES,$962300.00,$0.00,DSF: 0000867029
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Scope,Complete,05/06/2015,05/13/2015,05/13/2015,229175,$168448.00,$168448.00,DSF: 0000822032
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Design,Complete,05/14/2015,09/22/2015,12/30/2015,733360,$783855.00,$623316.00,DSF: 0000822032
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Construction,Complete,03/18/2016,09/08/2017,09/05/2017,10285374,$10060052.00,$9878486.00,DSF: 0000822032
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,"CM, F&E",Complete,03/18/2016,09/08/2017,09/05/2017,1811017,$1406947.00,$1339927.00,DSF: 0000822032
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Scope,Complete,01/30/2015,06/16/2015,05/01/2015,134776,$41223.00,$41221.00,"DSF: 0000820291, 0000822171"
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Design,Complete,06/25/2015,11/27/2015,09/29/2015,539100,$120430.00,$116692.00,"DSF: 0000820291, 0000822171"
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Construction,In-Progress,07/12/2016,07/11/2018,,10108126,$9180781.00,$6970617.00,"DSF: 0000820291, 0000822171"
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,"CM, F&E",In-Progress,07/12/2016,07/11/2018,,636575,$518837.00,$449797.00,"DSF: 0000820291, 0000822171"
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Scope,Complete,04/07/2017,08/08/2017,06/13/2017,20818,$24058.00,$24058.00,DSF: 0000864171
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Design,Complete,07/19/2017,12/05/2017,12/07/2017,83273,$102866.00,$96356.00,DSF: 0000864171
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Construction,PNS,PNS,PNS,PNS,1561366,$1561366.00,$23938.00,DSF: 0000864171
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,"CM, F&E",PNS,PNS,PNS,PNS,97152,$97152.00,$18765.00,DSF: 0000864171
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,"IEH PO18-ROOMS 029,029B,109,124",Construction,Complete,02/27/2017,IEH,07/15/2017,IEH,$66649.00,$6304.00,DSF: 0000045438
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,IEH PO18-AUDITORIUM,Construction,Complete,07/20/2017,IEH,08/04/2017,IEH,$41408.00,$6724.00,DSF: 0000047766
10,X445,BRONX HS OF SCIENCE - X,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,50000,$50000.00,$0.00,DSF: 0000798839
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Scope,In-Progress,08/28/2017,02/15/2018,,1156096,$1156096.00,$9609.00,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Design,PNS,PNS,PNS,PNS,3699508,$3699508.00,$38434.00,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,Construction,PNS,PNS,PNS,PNS,51885601,$51885601.00,$6917.00,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",PNS,PNS,PNS,PNS,7306528,$7306528.00,$21037.00,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Scope,Complete,12/11/2017,12/11/2017,12/11/2017,30000,$0.00,$0.00,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Design,In-Progress,12/11/2017,03/20/2018,,110000,$110000.00,$0.00,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Construction,PNS,PNS,PNS,PNS,1165000,$1165000.00,$0.00,DSF: 0000798176
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,"CM, F&E",PNS,PNS,PNS,PNS,270000,$270000.00,$116.00,DSF: 0000798176
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Scope,Complete,06/01/2012,10/17/2012,10/19/2012,110940,$103978.00,$103978.00,DSF: 0000753048
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Design,Complete,03/27/2013,09/26/2013,11/08/2013,388290,$329925.00,$316570.00,DSF: 0000753048
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Construction,Complete,04/07/2014,01/26/2016,01/30/2017,6295845,$6201593.00,$5989027.00,DSF: 0000753048
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",Complete,04/07/2014,01/26/2016,01/30/2017,551018,$595580.00,$594538.00,DSF: 0000753048
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,Complete,08/19/2014,01/07/2015,07/27/2015,166366,$225758.00,$206813.00,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,Complete,10/07/2015,03/14/2016,07/05/2016,659453,$627318.00,$350802.00,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
2,M834,HS FOR ENVIRONMENTAL STUDIES,SCA CIP RESOA,FY18 RESO A GYMNASIUM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,4500,$4500.00,$0.00,DSF: 0000866424
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Construction,In-Progress,08/07/2017,08/06/2019,,11825294,$10697123.00,$38572.00,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,"CM, F&E",In-Progress,08/07/2017,08/06/2019,,854515,$54475.00,$54475.00,"DSF: 0000797229, 0000820383, 0000820385, 0000820386"
2,M660,SCHOOL OF THE FUTURE - MANHATT,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/01/2017,01/15/2018,07/06/2017,70000,$69473.00,$69473.00,DSF: 0000845312
2,M660,SCHOOL OF THE FUTURE - MANHATT,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/06/2017,DOES,,DOES,$170000.00,$2226.00,DSF: 0000866013
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Scope,Complete,07/22/2008,09/08/2008,09/16/2008,15000,$34136.00,$33979.00,DSF: 0000622222
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Design,Complete,09/16/2008,10/30/2008,09/16/2008,55000,$171391.00,$146190.00,DSF: 0000622222
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Construction,PNS,PNS,PNS,PNS,582500,$582500.00,$0.00,DSF: 0000622222
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,"CM, F&E",PNS,PNS,PNS,PNS,135000,$135000.00,$3259.00,DSF: 0000622222
2,M661,MNHT COMPR. NIGHT & DAY HS - M,SCA IEH,IEH PO18-BASEMENT IT OFFICE AND SERVER ROOM,Construction,Complete,08/09/2017,IEH,12/23/2017,IEH,$20623.00,$1526.00,DSF: 0000048048
