ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Borough Block Lot,Census Tract,Community District,Council District,NTA,NTA_Name,Principal Name,Principal Title,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Superintendent,Superintendent Location Code,Community School Sup Name,FSC Location Code,FSC Director Name,FSC Director Title,FSC Director Phone,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent
01M134,M134,P.S. 134 Henrietta Szold,310100010134,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1960,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,1002880001,202,103,1,MN28,Lower East Side,ROBERT PERALES,Acting Principal,212-673-4470,212-475-6142,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M140,M140,P.S. 140 Nathan Straus,310100010140,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1959,Open,M140,123 RIDGE STREET,MANHATTAN,NY,10002,1003440001,2201,103,1,MN28,Lower East Side,MELISSA RODRIGUEZ,PRINCIPAL,212-677-4680,212-677-3907,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M142,M142,P.S. 142 Amalia Castro,310100010142,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1976,Open,M142,100 ATTORNEY STREET,MANHATTAN,NY,10002,1003430001,1402,103,1,MN28,Lower East Side,DAPHNA GUTMAN,PRINCIPAL,212-598-3800,212-598-3810,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M184,M184,P.S. 184m Shuang Wen,310100010184,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jun 22 1999,Open,M137,327 CHERRY STREET,MANHATTAN,NY,10002,1002450007,201,103,1,MN28,Lower East Side,Iris Chiu,PRINCIPAL,212-602-9700,212-602-9710,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M188,M188,P.S. 188 The Island School,310100010188,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1904,Open,M188,442 EAST HOUSTON STREET,NEW YORK,NY,10002,1003560100,2000,103,2,MN28,Lower East Side,Suany Ramos,PRINCIPAL,212-677-5710,212-228-3007,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M292,M292,Orchard Collegiate Academy,310100011292,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Sep 8 2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,1002690041,201,103,1,MN28,Lower East Side,MILES DOYLE,PRINCIPAL,212-406-9411,,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M315,M315,The East Village Community School,310100010315,DOE,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,1003940012,2800,103,2,MN28,Lower East Side,Bradley Goodman,PRINCIPAL,212-982-0682,212-260-4012,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M332,M332,University Neighborhood Middle School,310100010332,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Sep 13 2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,1002690041,201,103,1,MN28,Lower East Side,LAURA PEYNADO CASTRO,PRINCIPAL,212-267-5701,212-349-8224,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M361,M361,The Children's Workshop School,310100010361,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,1003940012,2800,103,2,MN28,Lower East Side,MARIA VELEZ CLARKE,PRINCIPAL,212-614-9531,212-614-9462,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M363,M363,Neighborhood School,310100010363,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,1004310014,3200,103,2,MN22,East Village,Dyanthe Spielberg,PRINCIPAL,212-387-0195,212-387-0198,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M364,M364,Earth School,310100010364,DOE,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,1003870001,2601,103,2,MN28,Lower East Side,ABBE FUTTERMAN,PRINCIPAL,212-477-1735,212-477-2396,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M378,M378,School for Global Leaders,310100010378,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 2008,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,1003540080,3001,103,1,MN27,Chinatown,Keri Ricks,PRINCIPAL,212-260-5375,212-432-5586,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
01M448,M448,University Neighborhood High School,310100011448,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jun 4 1999,Open,M446,200 MONROE STREET,MANHATTAN,NY,10002,1002590044,202,103,1,MN28,Lower East Side,Elizabeth Collins,PRINCIPAL,212-962-4341,212-267-5611,1,1,HS04,,"ROSALES, MARISOL",HS04,,MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,HS04,HS Network 04 Superintendent Office,"ROSALES, MARISOL"
01M450,M450,East Side Community School,310100011450,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",Jun 5 1996,Open,M060,420 EAST 12 STREET,MANHATTAN,NY,10009,1004390017,3400,103,2,MN22,East Village,MARK FEDERMAN,PRINCIPAL,212-460-8467,212-260-9657,1,1,HS12,,"PELLES, KATHY",HS12,,AFSA,"ANORMALIZA, ALEXANDRA",FSC Executive Director,718-935-5618,HS12,H.S. Network 12 Superintendent Office,"PELLES, KATHY"
01M458,M458,Forsyth Satellite Academy,310100011458,DOE,Transfer School,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2010,Open,M510,198 FORSYTH STREET,MANHATTAN,NY,10002,1004220072,3601,103,1,MN27,Chinatown,Patrick Reimer,PRINCIPAL,212-677-8900,212-260-3063,1,1,HS10,,"ROTONDO, PAUL",HS10,,AFSA,"ANORMALIZA, ALEXANDRA",FSC Executive Director,718-935-5618,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL"
01M509,M509,Marta Valle High School,310100011509,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jun 5 1996,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,1003540080,3001,103,1,MN27,Chinatown,Steven Aragona,PRINCIPAL,212-473-8152,212-475-7588,1,1,HS04,,"ROSALES, MARISOL",HS04,,MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,HS04,HS Network 04 Superintendent Office,"ROSALES, MARISOL"
01M515,M515,Lower East Side Preparatory High School,310100011515,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",Jun 5 1996,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,1003540080,3001,103,1,MN27,Chinatown,Rene Anaya,PRINCIPAL,212-505-6366,212-260-0813,1,1,HS10,,"ROTONDO, PAUL",HS10,,MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL"
01M539,M539,"New Explorations into Science, Technology and Math High School",310100011539,DOE,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","0K,01,02,03,04,05,06,07,08,09,10,11,12",Jul 1 2000,Open,M022,111 COLUMBIA STREET,MANHATTAN,NY,10002,1003350001,2201,103,2,MN28,Lower East Side,MARK BERKOWITZ,PRINCIPAL,212-677-5190,212-260-8124,1,1,HS04,,"ROSALES, MARISOL",HS04,,MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,HS04,HS Network 04 Superintendent Office,"ROSALES, MARISOL"
01M650,M650,Cascades High School,310100011650,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",Jan 5 1998,Open,M510,198 FORSYTH STREET,MANHATTAN,NY,10002,1004220072,3601,103,1,MN27,Chinatown,Claire Sheehan,PRINCIPAL,646-654-1261,646-654-1742,1,1,HS10,,"ROTONDO, PAUL",HS10,,MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL"
01M696,M696,Bard High School Early College,310100011696,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2001,Open,M097,525 EAST HOUSTON STREET,MANHATTAN,NY,10002,1003250025,1002,103,2,MN28,Lower East Side,MICHAEL LERNER,PRINCIPAL,212-995-8479,212-777-4702,1,1,HS04,,"ROSALES, MARISOL",HS04,,MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,HS04,HS Network 04 Superintendent Office,"ROSALES, MARISOL"
01M839,M839,Tompkins Square Middle School,310100010839,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 2001,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,1003870001,2601,103,2,MN28,Lower East Side,SONHANDO ESTWICK,PRINCIPAL,212-995-1430,212-979-1341,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",M801,"CHAN, CARRY",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M001,M001,P.S. 001 Alfred E. Smith,310200010001,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1898,Open,M001,8 HENRY STREET,MANHATTAN,NY,10038,1002790040,2700,103,1,MN27,Chinatown,AMY HOM,PRINCIPAL,212-267-4133,212-267-4469,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M002,M002,P.S. 002 Meyer London,310200010002,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1958,Open,M002,122 HENRY STREET,MANHATTAN,NY,10002,1002730001,600,103,1,MN28,Lower East Side,Silvana Ng,PRINCIPAL,212-964-0350,212-608-4080,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M003,M003,P.S. 003 Charrette School,310200010003,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1905,Open,M003,490 HUDSON STREET,MANHATTAN,NY,10014,1005850041,7300,102,3,MN23,West Village,LISA SIEGMAN,PRINCIPAL,212-691-1183,212-675-5306,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M006,M006,P.S. 006 Lillie D. Blake,310200010006,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1953,Open,M006,45 EAST 81 STREET,MANHATTAN,NY,10028,1014930021,14200,108,4,MN40,Upper East Side-Carnegie Hill,LAUREN FONTANA,PRINCIPAL,212-452-6650,212-452-6645,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M011,M011,P.S. 011 William T. Harris,310200010011,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1925,Open,M011,320 WEST 21 STREET,MANHATTAN,NY,10011,1007440024,8900,104,3,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,ROBERT BENDER,PRINCIPAL,212-929-1743,212-989-7816,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M033,M033,P.S. 033 Chelsea Prep,310200010033,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1951,Open,M033,281 9 AVENUE,MANHATTAN,NY,10001,1007240023,9700,104,3,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,Chingchien Wang,PRINCIPAL,212-244-6426,212-629-6893,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M040,M040,P.S. 040 Augustus Saint-Gaudens,310200010040,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1899,Open,M040,320 EAST 20TH STREET,MANHATTAN,NY,10003,1009250012,6400,106,2,MN21,Gramercy,SUSAN FELDER,PRINCIPAL,212-475-5500,212-533-5388,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M041,M041,P.S. 041 Greenwich Village,310200010041,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1958,Open,M041,116 WEST 11 STREET,MANHATTAN,NY,10011,1006060049,7100,102,3,MN23,West Village,KELLY SHANNON,PRINCIPAL,212-675-2756,212-924-0910,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M042,M042,P.S. 042 Benjamin Altman,310200010042,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1899,Open,M042,71 HESTER STREET,MANHATTAN,NY,10002,1003090001,1600,103,1,MN27,Chinatown,May Lee,PRINCIPAL,212-226-8410,212-431-7384,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M047,M047,47 The American Sign Language and English Secondary School,310200010047,DOE,Special Education,High school,"09,10,11,12,SE","09,10,11,12,SE",Jul 1 1908,Open,M047,223 EAST 23 STREET,MANHATTAN,NY,10010,1009040024,6400,106,2,MN21,Gramercy,WATFA SHAMA,PRINCIPAL,917-326-6668,917-326-6688,2,2,HS04,,"ROSALES, MARISOL",HS04,,MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,HS04,HS Network 04 Superintendent Office,"ROSALES, MARISOL"
02M051,M051,P.S. 051 Elias Howe,310200010051,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1905,Open,M338,525 WEST 44TH STREET,MANHATTAN,NY,10036,1010730014,12900,104,3,MN15,Clinton,Stephanie Lukas,I.A. PRINCIPAL,212-315-7160,212-315-7165,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M059,M059,P.S. 059 Beekman Hill International,310200010059,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1960,Open,M488,231-249 EAST 56 STREET,MANHATTAN,NY,10019,1013300013,10800,106,4,MN19,Turtle Bay-East Midtown,ADELE SCHROETER,PRINCIPAL,212-888-7870,212-888-7872,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M077,M077,P.S. 77 Lower Lab School,310200010077,DOE,General Academic,Elementary,"0K,01,02,03,04,05","0K,01,02,03,04,05",Jul 1 1999,Open,M198,1700 3 AVENUE,MANHATTAN,NY,10128,1015240023,15801,108,5,MN40,Upper East Side-Carnegie Hill,Sandra Miller,PRINCIPAL,212-427-2798,212-423-0634,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M089,M089,P.S. 89,310200010089,DOE,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",Jul 1 1998,Open,M089,201 WARREN STREET,MANHATTAN,NY,10282,1000160221,31703,101,1,MN25,Battery Park City-Lower Manhattan,VERONICA NAJJAR,PRINCIPAL,212-571-5659,212-571-0739,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M104,M104,J.H.S. 104 Simon Baruch,310200010104,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1956,Open,M104,330 EAST 21 STREET,MANHATTAN,NY,10010,1009260001,6400,106,2,MN21,Gramercy,Rocco Macri,PRINCIPAL,212-674-4545,212-477-2205,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M111,M111,P.S. 111 Adolph S. Ochs,310200010111,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1958,Open,M111,440 WEST 53 STREET,MANHATTAN,NY,10019,1010620003,13300,104,3,MN15,Clinton,Edward Gilligan,PRINCIPAL,212-582-7420,212-245-7236,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M114,M114,East Side Middle School,310200010114,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1999,Open,M114,331 EAST 91ST STREET,MANHATTAN,NY,10128,1015540032,15400,108,5,MN32,Yorkville,DAVID GETZ,PRINCIPAL,212-360-0114,212-360-0121,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M116,M116,P.S. 116 Mary Lindley Murray,310200010116,DOE,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05",Jul 1 1926,Open,M116,210 EAST 33 STREET,MANHATTAN,NY,10016,1009130007,7000,106,2,MN20,Murray Hill-Kips Bay,JANE HSU,PRINCIPAL,212-685-4366,212-696-1009,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M124,M124,P.S. 124 Yung Wing,310200010124,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1976,Open,M124,40 DIVISION STREET,MANHATTAN,NY,10002,1002890001,1600,103,1,MN27,Chinatown,ALICE HOM,PRINCIPAL,212-966-7237,212-219-3069,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M126,M126,P.S. 126 Jacob August Riis,310200010126,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1966,Open,M126,80 CATHERINE STREET,MANHATTAN,NY,10038,1001110160,2500,103,1,MN27,Chinatown,Carlos Romero,PRINCIPAL,212-962-2188,212-349-7342,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M130,M130,P.S. 130 Hernando De Soto,310200010130,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1921,Open,M130,143 BAXTER STREET,MANHATTAN,NY,10013,1002360038,4100,102,1,MN24,SoHo-TriBeCa-Civic Center-Little Italy,Renny Fong,PRINCIPAL,212-226-8072,212-431-5524,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
02M131,M131,M.S. 131,310200010131,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1983,Open,M131,100 HESTER STREET,MANHATTAN,NY,10002,1003010003,1600,103,1,MN27,Chinatown,PHYLLIS TAM,PRINCIPAL,212-219-1204,212-925-6386,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"LABOY, BONNIE",M802,"LABOY, BONNIE",MFSC,"CHU, YUET",FSC Executive Director,917-705-5856,,,
