School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 342 (RIVERSIDE CENTER) - MANHATTAN,M,3,New,74425721,CAP,M342,21 WEST END AVENUE,Manhattan,10023,MANHATTAN,40.772463,-73.989844,7,6,151,1088870,1011717510,Lincoln Square                                                             ,"(40.772463, -73.989844)",
PRE-K CENTER @ 2 LAFAYETTE STREET - MANHATTAN,M,2,Interior,5144096,CAP,M453,2 LAFAYETTE STREET,Manhattan,10007,MANHATTAN,40.713723,-74.003586,1,1,31,1001672,1001550001,SoHo-TriBeCa-Civic Center-Little Italy                                     ,"(40.713723, -74.003586)",
,M,2,,0,CAP,M777,227 WEST 27TH STREET,Manhattan,,,,,,,,,,,,
ISHS @ M837,M,78,Lease,387600,CAP,M837,227-243 WEST 61 STREET,Manhattan,10023,MANHATTAN,40.772007,-73.987479,7,6,151,1030328,1011540108,Lincoln Square                                                             ,"(40.772007, -73.987479)",
ISHS @ M837,M,78,Lease,13694000,CAP,M837,227-243 WEST 61 STREET,Manhattan,10023,MANHATTAN,40.772007,-73.987479,7,6,151,1030328,1011540108,Lincoln Square                                                             ,"(40.772007, -73.987479)",
P.S. 303 - QUEENS,Q,28,Addition,65987000,CAP,Q003,108-55 69TH AVENUE,Queens,11375,QUEENS   ,40.725098,-73.845091,6,29,739,4052265,4022180021,Forest Hills                                                               ,"(40.725098, -73.845091)",
P.S. 303 - QUEENS,Q,28,Demo,5183000,CAP,Q003,108-55 69TH AVENUE,Queens,11375,QUEENS   ,40.725098,-73.845091,6,29,739,4052265,4022180021,Forest Hills                                                               ,"(40.725098, -73.845091)",
P.S. 11 - QUEENS,Q,30,Addition,91875000,CAP,Q011,54-25 SKILLMAN AVENUE,Queens,11377,QUEENS   ,40.745244,-73.90872,2,26,251,4552510,4012390001,Woodside                                                                   ,"(40.745244, -73.90872)",
P.S. 19 - QUEENS,Q,24,Addition,95491911,CAP,Q019,98-02 ROOSEVELT AVENUE,Queens,11368,QUEENS   ,40.749381,-73.867354,4,21,409,4437176,4016070001,North Corona                                                               ,"(40.749381, -73.867354)",
P.S. 24 - QUEENS,Q,25,Addition,82451000,CAP,Q024,141-11 HOLLY AVENUE,Queens,11355,QUEENS   ,40.75146,-73.817849,7,20,1205,4117403,4052010021,East Flushing                                                              ,"(40.75146, -73.817849)",
P.S. 24 - QUEENS,Q,25,Demo,2717000,CAP,Q024,141-11 HOLLY AVENUE,Queens,11355,QUEENS   ,40.75146,-73.817849,7,20,1205,4117403,4052010021,East Flushing                                                              ,"(40.75146, -73.817849)",
P.S. 35 - QUEENS,Q,29,Addition,42808000,CAP,Q035,191-02 90TH AVENUE,Queens,11423,QUEENS   ,40.713759,-73.769439,12,23,482,4222137,4104470007,Hollis                                                                     ,"(40.713759, -73.769439)",
P.S. 49 - QUEENS,Q,24,Addition,31534000,CAP,Q049,63-60 80TH STREET,Queens,11379,QUEENS   ,40.719867,-73.875093,5,30,663,4069253,4029900045,Middle Village                                                             ,"(40.719867, -73.875093)",
P.S. 50 - QUEENS,Q,28,Addition,55182000,CAP,Q050,143-26 101 AVENUE,Queens,11435,QUEENS   ,40.695238,-73.807364,12,28,206,4214461,4100240012,Jamaica                                                                    ,"(40.695238, -73.807364)",
I.S. 125 - QUEENS,Q,24,Addition,83800000,CAP,Q125,46-02 47 AVENUE,Queens,11377,QUEENS   ,40.741131,-73.918945,2,26,235,4052874,4022840006,Hunters Point-Sunnyside-West Maspeth                                       ,"(40.741131, -73.918945)",
P.S. 143 - QUEENS,Q,24,Demo,2688000,CAP,Q143,34-74 113 STREET,Queens,11368,QUEENS   ,40.755451,-73.855192,3,21,381,4043827,4017560025,North Corona                                                               ,"(40.755451, -73.855192)",
P.S. 163 - QUEENS,Q,25,Addition,43834000,CAP,Q163,159-01 59 AVENUE,Queens,11365,QUEENS   ,40.740565,-73.809131,7,20,1215,4146042,4067260070,Queensboro Hill                                                            ,"(40.740565, -73.809131)",
P.S. 176 - QUEENS,Q,29,Addition,50247000,CAP,Q176,120-45 235 STREET,Queens,11411,QUEENS   ,40.685492,-73.729982,13,27,614,4276382,4128200001,Cambria Heights                                                            ,"(40.685492, -73.729982)",
P.S. 92 - QUEENS,Q,30,Addition,42410002,CAP,Q292,99-01 34TH AVENUE,Queens,11368,QUEENS   ,40.755418,-73.869017,3,21,377,4042496,4017140018,North Corona                                                               ,"(40.755418, -73.869017)",
P.S. 298 - QUEENS,Q,24,New,76850000,CAP,Q298,50-51 98TH STREET,Queens,11368,QUEENS   ,40.742167,-73.864109,4,21,44302,4046832,4018910001,Corona                                                                     ,"(40.742167, -73.864109)",
PRE-K CENTER @ 70-24 47TH AVENUE - QUEENS,Q,24,Lease,2458500,CAP,Q321,70-24 47TH AVENUE,Queens,11377,QUEENS   ,40.739014,-73.893771,2,30,489,4441128,4024450001,Elmhurst-Maspeth                                                           ,"(40.739014, -73.893771)",
P.S. 332 - QUEENS,Q,26,New,66643000,CAP,Q332,210-07 48TH AVENUE,Queens,11364,QUEENS   ,40.754954,-73.770314,11,19,1447,4157240,4073270049,Bayside-Bayside Hills                                                      ,"(40.754954, -73.770314)",
P.S. 335 - QUEENS,Q,27,New,70885000,CAP,Q335,150-15 RALEIGH STREET,Queens,11418,QUEENS   ,40.668127,-73.837189,10,32,88,4000000,4115600001,Ozone Park                                                                 ,"(40.668127, -73.837189)",
IS/HS 336 - QUEENS,Q,78,Lease,19987000,CAP,Q336,124-06 14TH AVENUE,Queens,11356,QUEENS   ,40.785327,-73.843749,7,19,925,4098406,4040890045,College Point                                                              ,"(40.785327, -73.843749)",
PRE-K CENTER @ 32-52 37TH STREET - QUEENS,Q,30,Lease,6813171,CAP,Q397,32-52 37TH STREET,Queens,11103,QUEENS   ,40.759308,-73.920948,1,22,59,4436898,4006470016,Astoria                                                                    ,"(40.759308, -73.920948)",
P.S. 398 - QUEENS,Q,30,Demo,1708504,CAP,Q398,69-01 34TH AVENUE,Queens,11377,QUEENS   ,40.752493,-73.896922,3,25,291,4028492,4012420032,Jackson Heights                                                            ,"(40.752493, -73.896922)",
PRE-K CENTER @ JACKSON AVENUE - QUEENS,Q,30,Lease,8248692,CAP,Q972,27-35 JACKSON AVENUE,Queens,11101,QUEENS   ,40.747962,-73.940046,2,26,19,4005127,4004320008,Hunters Point-Sunnyside-West Maspeth                                       ,"(40.747962, -73.940046)",
P.S. 82 - STATEN ISLAND,R,31,Lease,9271638,CAP,R082,104 GORDON STREET,Staten Is,10304,STATEN IS,40.624263,-74.082667,1,49,21,5106870,5005430017,Stapleton-Rosebank                                                         ,"(40.624263, -74.082667)",
CURTIS HIGH SCHOOL ANNEX - STATEN ISLAND,R,78,Addition,69360558,CAP,R453,105B HAMILTON AVENUE,Staten Is,10301,STATEN IS,40.644735,-74.081222,1,49,7,,,West New Brighton-New Brighton-St. George                                  ,"(40.644735, -74.081222)",
SUSAN E. WAGNER HS ANNEX - STATEN ISLAND,R,78,Addition,24981900,CAP,R462,1220 MANOR ROAD,Staten Is,10314,STATEN IS,40.596624,-74.124334,2,50,181,5164530,5009550100,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,"(40.596624, -74.124334)",
P.S. 14 - BRONX,X,8,Addition,50850000,CAP,X014,3041 BRUCKNER BLVD,Bronx,10461,BRONX    ,40.835779,-73.825735,10,13,184,2072754,2053130092,Schuylerville-Throgs Neck-Edgewater Park                                   ,"(40.835779, -73.825735)",
P.S. 46 - BRONX,X,10,Addition,84478000,CAP,X046,279 EAST 196 STREET,Bronx,10458,BRONX    ,40.866827,-73.890725,7,15,40501,2094729,2032950001,Bedford Park-Fordham North                                                 ,"(40.866827, -73.890725)",
P.S. 46 - BRONX,X,10,Demo,2775000,CAP,X046,279 EAST 196 STREET,Bronx,10458,BRONX    ,40.866827,-73.890725,7,15,40501,2094729,2032950001,Bedford Park-Fordham North                                                 ,"(40.866827, -73.890725)",
P.S. 56 - BRONX,X,10,Addition,49723000,CAP,X056,341 EAST 207 STREET,Bronx,10467,BRONX    ,40.875156,-73.875217,7,11,42902,2018457,2033510001,Norwood                                                                    ,"(40.875156, -73.875217)",
P.S. 317 - BRONX,X,8,New,49393937,CAP,X317,1028 WHITE PLAINS ROAD,Bronx,10472,BRONX    ,40.827029,-73.860034,9,18,4001,2000000,2037330005,Soundview-Bruckner                                                         ,"(40.827029, -73.860034)",
PRE-K CENTER 2 @ 2490-2500 WEBSTER AVENUE - BRONX,X,10,Lease,11645000,CAP,X432,2490-2500 WEBSTER AVE,Bronx,10458,BRONX    ,40.860848,-73.892224,6,15,38302,2094608,2030330004,Fordham South                                                              ,"(40.860848, -73.892224)",
PRE-K CENTER @ 2510 MARION AVENUE - BRONX,X,10,Lease,9167000,CAP,X444,2510 MARION AVENUE,Bronx,10458,BRONX    ,40.861286,-73.893258,5,15,39902,2011069,2030260014,Bedford Park-Fordham North                                                 ,"(40.861286, -73.893258)",
P.S. 315 - BRONX,X,10,Lease,14400000,CAP,X779,2865 CLAFLIN AVENUE,Bronx,10468,BRONX    ,40.873239,-73.899722,8,14,26702,2086833,2032500073,Van Cortlandt Village                                                      ,"(40.873239, -73.899722)",
P.S. 3 - BROOKLYN,K,13,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5811800,CIP,K003,50 JEFFERSON AVENUE,Brooklyn,11216,BROOKLYN ,40.682663,-73.955338,3,36,227,3057406,3019980001,Clinton Hill                                                               ,"(40.682663, -73.955338)",
I.S. 14 - BROOKLYN,K,22,WATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,8218900,CIP,K014,2424 BATCHELDER STREET,Brooklyn,11235,BROOKLYN ,40.593521,-73.937672,15,48,596,3203617,3074240001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,"(40.593521, -73.937672)",
P.S. 15 - BROOKLYN,K,15,SANDY - INSTALL TEMPORARY BOILERS,550000,CIP,K015,71 SULLIVAN STREET,Brooklyn,11231,BROOKLYN ,40.677343,-74.011558,6,38,53,3008585,3005660001,Carroll Gardens-Columbia Street-Red Hook                                   ,"(40.677343, -74.011558)",
P.S. 19 - BROOKLYN,K,14,FY16 RESO A PLAYGROUND REDVELOPMENT,345025,CIP,K019,325 SOUTH 3RD STREET,Brooklyn,11211,BROOKLYN ,40.709647,-73.95465,1,34,527,3063188,3024230001,North Side-South Side                                                      ,"(40.709647, -73.95465)",
P.S. 25 - BROOKLYN,K,16,ROOFS/PARAPETS/EXT MASONRY/EXT DOORS,6297397,CIP,K025,787 LAFAYETTE AVENUE,Brooklyn,11221,BROOKLYN ,40.691037,-73.941342,3,36,281,3049858,3017870014,Stuyvesant Heights                                                         ,"(40.691037, -73.941342)",
I.S. 393 - BROOKLYN,K,16,FULL PROGRAM ACCESSIBILITY/LOW VOLTAGE ELECTRICAL,6750000,CIP,K026,1014 LAFAYETTE AVENUE,Brooklyn,11221,BROOKLYN ,40.692126,-73.931731,3,36,291,3393805,3016160001,Stuyvesant Heights                                                         ,"(40.692126, -73.931731)",
P.S. 26 - BROOKLYN,K,16,FY13 RESO A PLAYGROUND REDEVELOPMENT,799345,CIP,K026,1014 LAFAYETTE AVENUE,Brooklyn,11221,BROOKLYN ,40.692126,-73.931731,3,36,291,3393805,3016160001,Stuyvesant Heights                                                         ,"(40.692126, -73.931731)",
P.S. 31 - BROOKLYN,K,14,EXTERIOR MASONRY/PARAPETS,3879237,CIP,K031,75 MESEROLE AVENUE,Brooklyn,11222,BROOKLYN ,40.726587,-73.95427,1,33,561,3065299,3025950001,Greenpoint                                                                 ,"(40.726587, -73.95427)",
I.S. 330 - BROOKLYN,K,14,KITCHEN FLOORING/FLOOD/ANSUL SYSTEM,1348916,CIP,K033,70 TOMPKINS AVENUE,Brooklyn,11206,BROOKLYN ,40.697152,-73.946641,3,36,257,3048517,3017430018,Bedford                                                                    ,"(40.697152, -73.946641)",
P.S. 34 - BROOKLYN,K,14,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,4448000,CIP,K034,131 NORMAN AVENUE,Brooklyn,11222,BROOKLYN ,40.726135,-73.949649,1,33,573,3065733,3026220028,Greenpoint                                                                 ,"(40.726135, -73.949649)",
P.S. 44 - BROOKLYN,K,13,PLANYC BOILER/PLANYC CLIMATE CTRL/FIRE ALARM,5862800,CIP,K044,432 MONROE STREET,Brooklyn,11221,BROOKLYN ,40.686592,-73.940747,3,36,277,3051540,3018210001,Stuyvesant Heights                                                         ,"(40.686592, -73.940747)",
P.S. 46 - BROOKLYN,K,13,AUDITORIUM UPGRADE,689600,CIP,K046,100 CLERMONT AVENUE,Brooklyn,11205,BROOKLYN ,40.694633,-73.971165,2,35,187,3058088,3020450011,Fort Greene                                                                ,"(40.694633, -73.971165)",
LYONS COMMUNITY SCHOOL - K,K,14,PARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG,8853000,CIP,K049,223 GRAHAM AVENUE,Brooklyn,11206,BROOKLYN ,40.709941,-73.943641,1,34,505,3070825,3030250001,East Williamsburg                                                          ,"(40.709941, -73.943641)",
J.H.S. 57 - BROOKLYN,K,16,PUBLIC ADDRESS SYSTEM REPLACEMENT,590000,CIP,K057,125 STUYVESANT AVENUE,Brooklyn,11221,BROOKLYN ,40.691274,-73.933697,3,36,291,3043822,3016160001,Stuyvesant Heights                                                         ,"(40.691274, -73.933697)",
P.S. 73 - BROOKLYN,K,23,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,10789000,CIP,K073,251 MACDOUGAL STREET,Brooklyn,11233,BROOKLYN ,40.680318,-73.910644,16,37,369,3041561,3015280001,Ocean Hill                                                                 ,"(40.680318, -73.910644)",
K753 SPED - BROOKLYN,K,13,LOW VOLTAGE ELEC SYSTEM/ANSUL SYSTEM,706260,CIP,K085,510 CLERMONT AVENUE,Brooklyn,11238,BROOKLYN ,40.682533,-73.968769,2,35,179,3057521,3020080001,Fort Greene                                                                ,"(40.682533, -73.968769)",
I.S. 88 - BROOKLYN,K,15,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,5896000,CIP,K088,544 7TH AVENUE,Brooklyn,11215,BROOKLYN ,40.660024,-73.987637,7,38,147,3331276,3008800001,Sunset Park West                                                           ,"(40.660024, -73.987637)",
P.S. 95 - BROOKLYN,K,21,PARAPET/ROOFS/EXT MASONRY,4743000,CIP,K095,345 VAN SICKLEN STREET,Brooklyn,11223,BROOKLYN ,40.595698,-73.97518,15,47,398,3192661,3071230066,Gravesend                                                                  ,"(40.595698, -73.97518)",
P.S. 104 - BROOKLYN,K,20,WATER INFILTRATION/FLOOD/PARAPETS/ROOFS,10521000,CIP,K104,9115 5TH AVENUE,Brooklyn,11209,BROOKLYN ,40.618415,-74.028842,10,43,160,3154775,3060880001,Bay Ridge                                                                  ,"(40.618415, -74.028842)",
P.S. 106 - BROOKLYN,K,32,FY 15 RESO A ROOM CONVERSION,375000,CIP,K106,1328 PUTNAM AVENUE,Brooklyn,11221,BROOKLYN ,40.693879,-73.913056,4,37,435,3077286,3033770001,Bushwick North                                                             ,"(40.693879, -73.913056)",
I.S. 349 - BROOKLYN,K,32,SCIENCE LAB UPGRADES,2039000,CIP,K111,35 STARR STREET,Brooklyn,11221,BROOKLYN ,40.70069,-73.927481,4,34,423,3072497,3031850001,Bushwick South                                                             ,"(40.70069, -73.927481)",
P.S. 114 - BROOKLYN,K,18,EXTERIOR MASONRY,2188000,CIP,K114,1077 REMSEN AVENUE,Brooklyn,11236,BROOKLYN ,40.642792,-73.908806,18,46,964,3229159,3081600022,Canarsie                                                                   ,"(40.642792, -73.908806)",
BROOKLYN COMM. HS OF COMMUNICA,K,13,EXTERIOR MASONRY/PARAPETS/ROOFS,10535000,CIP,K117,300 WILLOUGHBY AVENUE,Brooklyn,11205,BROOKLYN ,40.692642,-73.958794,3,33,235,3055165,3019260010,Clinton Hill                                                               ,"(40.692642, -73.958794)",
P.S. 119 - BROOKLYN,K,22,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5447000,CIP,K119,3829 AVENUE K,Brooklyn,11210,BROOKLYN ,40.625662,-73.938265,18,45,734,3215816,3077860001,Flatlands                                                                  ,"(40.625662, -73.938265)",
P.S. 130 - BROOKLYN,K,15,WATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,12025000,CIP,K130,70 OCEAN PARKWAY,Brooklyn,11218,BROOKLYN ,40.648884,-73.975607,7,39,500,3124019,3053190001,Windsor Terrace                                                            ,"(40.648884, -73.975607)",
I.S. 136 - BROOKLYN,K,15,RPZ VALVES/LOW VOLTAGE ELEC SYSTEM,1971000,CIP,K136,4004 4TH AVENUE,Brooklyn,11232,BROOKLYN ,40.651977,-74.006862,7,38,82,3010580,3007130020,Sunset Park West                                                           ,"(40.651977, -74.006862)",
I.S. 821 - BROOKLYN,K,15,FY16 RESO A GYMNASIUM UPGRADE,245842,CIP,K136,4004 4TH AVENUE,Brooklyn,11232,BROOKLYN ,40.651977,-74.006862,7,38,82,3010580,3007130020,Sunset Park West                                                           ,"(40.651977, -74.006862)",
P.S. 138 - BROOKLYN,K,17,LIGHTING REPLACEMENT (DCAS),1696100,CIP,K138,760 PROSPECT PLACE,Brooklyn,11216,BROOKLYN ,40.67438,-73.951443,8,36,31701,3330794,3012330026,Crown Heights North                                                        ,"(40.67438, -73.951443)",
P.S. 152 - BROOKLYN,K,22,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1198890,CIP,K152,725 EAST 23 STREET,Brooklyn,11210,BROOKLYN ,40.632562,-73.954724,14,45,772,3205780,3075510026,Flatbush                                                                   ,"(40.632562, -73.954724)",
P.S. 160 - BROOKLYN,K,20,EXTERIOR MASONRY/FLOOD ELMNTN/PARAPETS,5700400,CIP,K160,5105 FORT HAMILTON PARKWAY,Brooklyn,11219,BROOKLYN ,40.637322,-73.999215,12,44,220,3138276,3056530021,Borough Park                                                               ,"(40.637322, -73.999215)",
P.S. 179 - BROOKLYN,K,20,FY16 RESO A AUDITORIUM UPGRADE,160460,CIP,K179,202 AVENUE C,Brooklyn,11218,BROOKLYN ,40.640463,-73.977642,12,39,488,3126001,3053710001,Kensington-Ocean Parkway                                                   ,"(40.640463, -73.977642)",
P.S. 188 - BROOKLYN,K,21,SANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA,13757000,CIP,K188,3314 NEPTUNE AVENUE,Brooklyn,11224,BROOKLYN ,40.577217,-74.000194,13,47,328,3188726,3070060001,Seagate-Coney Island                                                       ,"(40.577217, -74.000194)",
P.S. 192 - BROOKLYN,K,20,DETERIORATED WINDOW WELL WALLS/FLOOD/PARAPETS/ROOF,5387000,CIP,K192,4715 18 AVENUE,Brooklyn,11204,BROOKLYN ,40.629303,-73.979995,12,44,476,3128909,3054450001,Borough Park                                                               ,"(40.629303, -73.979995)",
P.S. 193 - BROOKLYN,K,22,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1298835,CIP,K193,2515 AVENUE L,Brooklyn,11210,BROOKLYN ,40.621507,-73.950473,14,45,754,3208461,3076250001,Midwood                                                                    ,"(40.621507, -73.950473)",
P.S. 194 - BROOKLYN,K,22,MASONRY/WINDOWS/ROOFS/PARAPETS,4389000,CIP,K194,3117 AVENUE W,Brooklyn,11229,BROOKLYN ,40.596757,-73.933499,15,46,570,3201629,3073930001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,"(40.596757, -73.933499)",
P.S. 195 - BROOKLYN,K,22,SANDY- TEMP BOILER,849500,CIP,K195,131 IRWIN STREET,Brooklyn,11235,BROOKLYN ,40.579451,-73.943819,15,48,620,3246519,3087520035,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,"(40.579451, -73.943819)",
P.S. 196 - BROOKLYN,K,14,FY16 RESO A LIBRARY UPGRADE,131000,CIP,K196,207 BUSHWICK AVENUE,Brooklyn,11206,BROOKLYN ,40.708723,-73.940002,1,34,485,3071024,3030460001,Bushwick South                                                             ,"(40.708723, -73.940002)",
P.S. 198 - BROOKLYN,K,22,PLAYGROUND REDEVELOPMENT AND TCU,1230964.98,CIP,K198,4105 FARRAGUT ROAD,Brooklyn,11210,BROOKLYN ,40.63694,-73.937339,17,45,836,3113388,3049880066,East Flatbush-Farragut                                                     ,"(40.63694, -73.937339)",
I.S. 201 - BROOKLYN,K,20,PARAPETS/EXT MASONRY/CONCRETE/FLOOD/ROOF,20782700,CIP,K201,8010 12 AVENUE,Brooklyn,11228,BROOKLYN ,40.618676,-74.012722,10,43,166,3162973,3062780022,Dyker Heights                                                              ,"(40.618676, -74.012722)",
P.S. 208 - BROOKLYN,K,18,"CRACKED MASONRY, DETERIORATED MORTAR/FLOOD/WINDOWS",2117000,CIP,K208,4801 AVENUE D,Brooklyn,11203,BROOKLYN ,40.642031,-73.931151,17,45,840,3105680,3047690025,East Flatbush-Farragut                                                     ,"(40.642031, -73.931151)",
I.S. 211 - BROOKLYN,K,18,INTERIOR SPACES/HEATING PLT/ELEC/CLIMATE/FLOOD EL,10968000,CIP,K211,1001 EAST 100 STREET,Brooklyn,11236,BROOKLYN ,40.643278,-73.896212,18,46,988,3326732,3082270001,Canarsie                                                                   ,"(40.643278, -73.896212)",
P.S. 225 - BROOKLYN,K,21,FLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,8677000,CIP,K225,1075 OCEAN VIEW AVENUE,Brooklyn,11235,BROOKLYN ,40.579737,-73.956329,13,48,61004,3245498,3087120056,Brighton Beach                                                             ,"(40.579737, -73.956329)",
P.S. 235 - BROOKLYN,K,18,PLAYGROUND REDEVELOPMENT & TCU,2000000,CIP,K235,525 LENOX ROAD,Brooklyn,11203,BROOKLYN ,40.654704,-73.941089,17,41,814,3107846,3048440001,East Flatbush-Farragut                                                     ,"(40.654704, -73.941089)",
I.S. 239 - BROOKLYN,K,21,SANDY:INTERIOR/CONCRETE/HEAT/ELEC/FLOOD/FA,19640000,CIP,K239,2401 NEPTUNE AVENUE,Brooklyn,11224,BROOKLYN ,40.578188,-73.99203,13,47,330,3188221,3069650140,Seagate-Coney Island                                                       ,"(40.578188, -73.99203)",
P.S. 235 - BROOKLYN,K,18,STRUCTURAL DEFECTS,890000,CIP,K242,10001 FLATLANDS AVENUE,Brooklyn,11236,BROOKLYN ,40.645243,-73.898241,18,46,974,3229773,3081880001,Canarsie                                                                   ,"(40.645243, -73.898241)",
P.S. 244 - BROOKLYN,K,18,MORTAR JOINTS DETERIOR /FLOOD/PARAPETS/ROOF/WINDOW,10147000,CIP,K244,5404 TILDEN AVENUE,Brooklyn,11203,BROOKLYN ,40.648423,-73.925948,17,45,946,3104513,3047390001,Rugby-Remsen Village                                                       ,"(40.648423, -73.925948)",
P.S. 251 - BROOKLYN,K,22,FY16 RESO A AUDITORIUM UPGRAD,184300,CIP,K251,1037 EAST 54 STREET,Brooklyn,11234,BROOKLYN ,40.632524,-73.924417,18,46,722,3214729,3077580001,Flatlands                                                                  ,"(40.632524, -73.924417)",
MIDDLE SCHOOL FOR ART & PHILOS,K,18,FY16 RESO A ROOM CONVERSIONS/PARTITIONING,174000,CIP,K252,1084 LENOX ROAD,Brooklyn,11212,BROOKLYN ,40.658295,-73.920109,17,41,886,3101840,3046690037,Rugby-Remsen Village                                                       ,"(40.658295, -73.920109)",
MIDDLE SCHOOL FOR ART & PHILOS,K,18,PLANYC BOILER CONVERSION/CLIMATE CONTROL,7375000,CIP,K252,1084 LENOX ROAD,Brooklyn,11212,BROOKLYN ,40.658295,-73.920109,17,41,886,3101840,3046690037,Rugby-Remsen Village                                                       ,"(40.658295, -73.920109)",
P.S. 254 - BROOKLYN,K,22,SANDY - HEATING/ELEC SYS/FLOOD ELIM/CLIMATE CONTRL,4620000,CIP,K254,1801 AVENUE Y,Brooklyn,11235,BROOKLYN ,40.590423,-73.951753,15,48,592,3203132,3074200026,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,"(40.590423, -73.951753)",
